train_start,train_end,test_end,n_train,n_test,train_expectancy,test_expectancy,oos_pass,oos_reason
2015-01-01,2015-07-01,2016-01-01,0,18,0.0,-15.829434107016015,False,train expectancy 0.0000 ≤ 0 (no in-sample edge)
2015-07-01,2016-01-01,2016-07-01,18,84,-15.829434107016015,-7.286761404274655,False,train expectancy -15.8294 ≤ 0 (no in-sample edge)
2016-01-01,2016-07-01,2017-01-01,84,37,-7.286761404274655,52.73727803442061,False,train expectancy -7.2868 ≤ 0 (no in-sample edge)
2016-07-01,2017-01-01,2017-07-01,37,85,52.73727803442061,-8.29560588235303,False,test expectancy -8.2956 ≤ 0 (negative OOS)
2017-01-01,2017-07-01,2018-01-01,85,52,-8.29560588235303,-9.4549711538459,False,train expectancy -8.2956 ≤ 0 (no in-sample edge)
2017-07-01,2018-01-01,2018-07-01,52,72,-9.4549711538459,-14.394633686950733,False,train expectancy -9.4550 ≤ 0 (no in-sample edge)
2018-01-01,2018-07-01,2019-01-01,72,30,-14.394633686950733,57.77917527565241,False,train expectancy -14.3946 ≤ 0 (no in-sample edge)
2018-07-01,2019-01-01,2019-07-01,30,64,57.77917527565241,10.478867187500015,False,OOS ratio 18.14% < 70%
2019-01-01,2019-07-01,2020-01-01,64,70,10.478867187500015,-13.945714285714349,False,test expectancy -13.9457 ≤ 0 (negative OOS)
2019-07-01,2020-01-01,2020-07-01,70,186,-13.945714285714349,20.057736893366773,False,train expectancy -13.9457 ≤ 0 (no in-sample edge)
2020-01-01,2020-07-01,2021-01-01,186,117,20.057736893366773,0.20131234727232677,False,OOS ratio 1.00% < 70%
2020-07-01,2021-01-01,2021-07-01,117,39,0.20131234727232677,32.48264102564038,True,OOS ratio 16135.44% ≥ 70%
2021-01-01,2021-07-01,2022-01-01,39,12,32.48264102564038,-5.20083333333226,False,test expectancy -5.2008 ≤ 0 (negative OOS)
2021-07-01,2022-01-01,2022-07-01,12,24,-5.20083333333226,-1.0347675006310812,False,train expectancy -5.2008 ≤ 0 (no in-sample edge)
2022-01-01,2022-07-01,2023-01-01,24,31,-1.0347675006310812,18.674055875580667,False,train expectancy -1.0348 ≤ 0 (no in-sample edge)
2022-07-01,2023-01-01,2023-07-01,31,110,18.674055875580667,21.53016389267966,True,OOS ratio 115.29% ≥ 70%
2023-01-01,2023-07-01,2024-01-01,110,47,21.53016389267966,-12.401548296566034,False,test expectancy -12.4015 ≤ 0 (negative OOS)
2023-07-01,2024-01-01,2024-07-01,47,34,-12.401548296566034,7.2792941176472485,False,train expectancy -12.4015 ≤ 0 (no in-sample edge)
2024-01-01,2024-07-01,2025-01-01,34,24,7.2792941176472485,-4.580974588822149,False,test expectancy -4.5810 ≤ 0 (negative OOS)
2024-07-01,2025-01-01,2025-07-01,24,28,-4.580974588822149,191.2268583593221,False,train expectancy -4.5810 ≤ 0 (no in-sample edge)
2025-01-01,2025-07-01,2026-01-01,28,149,191.2268583593221,-4.243064265296308,False,test expectancy -4.2431 ≤ 0 (negative OOS)
